name,essround,edition,idno,cntry,dweight,pspwght,pweight,anweight,gndr,agea,maritalb,domicil,hhmmb,brncntr,ctzcntr,eisced,mnactic,pdwrk,emplrel,wrkctra,wkhtot,isco08,hinctnta,hincsrca,hincfel,health,hlthhmp,happy,stflife,cgtsmok,alcfreq,alcwkdy,alcwknd,alcbnge,height,weighta,region
ESS11e04_1,11,4.1,83538,GB,1.1424241,0.9420742,3.3242688,3.1317077,1,56,1,4,2,1,1,4,1,1,1,1,36,2300,9,1,2,2,3,4,3,4,3,0,41.8,5,182,79,UKH
ESS11e04_1,11,4.1,83545,GB,1.1424241,1.3613886,3.3242688,4.5256214,2,33,1,4,4,1,1,7,1,1,1,1,37,4132,10,1,2,2,3,88,8,5,3,16.8,22.9,4,177,70,UKK
ESS11e04_1,11,4.1,83569,GB,1.1424241,1.0599027,3.3242688,3.5234013,1,59,1,3,3,1,1,1,1,1,2,6,45,2142,7,1,1,3,2,10,10,6,7,6666,6666,6,182,95,UKD
ESS11e04_1,11,4.1,83572,GB,0.57121205,0.5777589,3.3242688,1.9206259,2,42,4,3,2,2,2,7,1,1,1,1,35,2421,8,1,1,1,3,8,8,6,7,6666,6666,6,162,60,UKJ
ESS11e04_1,11,4.1,83588,GB,0.57121205,0.5264941,3.3242688,1.7502079,1,77,6,1,1,2,1,1,1,1,7,7,40,99999,77,77,1,4,3,3,5,6,7,6666,6666,6,187,78,UKI
ESS11e04_1,11,4.1,83598,GB,1.1424241,0.9882333,3.3242688,3.2851532,1,68,1,4,2,1,1,6,6,0,1,1,55,1211,10,7,1,1,3,3,9,4,2,33.6,0,3,888,90,UKJ
ESS11e04_1,11,4.1,83600,GB,1.1424241,0.9882333,3.3242688,3.2851532,1,55,4,3,2,1,1,3,1,1,2,6,50,7400,9,2,1,2,2,7,6,4,7,6666,6666,6,185,122,UKJ
ESS11e04_1,11,4.1,83602,GB,0.57121205,0.43930337,3.3242688,1.4603624,1,67,5,3,1,1,1,2,6,0,1,1,40,8200,77,77,1,1,3,10,10,4,2,41.8,41.8,2,177,75,UKC
ESS11e04_1,11,4.1,83688,GB,2.2848482,2.20309,3.3242688,7.323663,2,41,6,4,6,1,1,5,1,1,1,2,45,5312,10,2,1,2,3,8,5,6,4,24,56,4,157,888,UKH
ESS11e04_1,11,4.1,83696,GB,1.1424241,0.7083192,3.3242688,2.3546433,1,65,1,3,2,1,1,4,1,1,1,1,40,2100,77,1,2,3,2,7,8,6,3,0,68.7,3,182,73,UKF
ESS11e04_1,11,4.1,83731,GB,0.57121205,0.49348336,3.3242688,1.6404713,1,73,6,4,1,1,1,1,6,0,1,8,20,99999,4,4,3,2,1,9,6,4,1,83.6,125.4,2,162,888,UKE
ESS11e04_1,11,4.1,83755,GB,0.57121205,0.6145319,3.3242688,2.042869,2,67,4,1,1,2,1,5,6,0,1,1,40,2341,2,4,2,3,2,7,7,6,7,6666,6666,6,154,67,UKI
ESS11e04_1,11,4.1,83756,GB,1.1424241,1.6608391,3.3242688,5.5210752,2,34,1,3,4,1,1,5,8,1,2,6,50,5329,8,1,2,2,3,10,10,4,6,0,11,5,157,47,UKJ
ESS11e04_1,11,4.1,83782,GB,1.1424241,0.86816347,3.3242688,2.8860087,1,39,1,2,3,1,1,3,1,1,1,1,40,7100,77,1,2,1,3,7,9,3,4,41.8,41.8,4,187,90,UKF
ESS11e04_1,11,4.1,83802,GB,1.1424241,0.9869667,3.3242688,3.2809427,1,59,1,2,2,1,1,55,1,1,1,1,35,1349,4,1,2,3,2,7,8,6,3,0,104.5,3,177,74,UKE
ESS11e04_1,11,4.1,83832,GB,0.57121205,0.4727537,3.3242688,1.5715604,2,68,4,3,1,1,1,7,1,1,1,1,45,2351,3,1,1,3,3,8,8,4,2,24,24,4,157,85,UKK
ESS11e04_1,11,4.1,83856,GB,1.1424241,1.2463025,3.3242688,4.1430445,1,29,6,3,2,1,1,6,1,1,1,1,42,4110,7,1,1,1,2,10,10,5,2,32,64,2,185,83,UKK
ESS11e04_1,11,4.1,83870,GB,0.57121205,0.5952057,3.3242688,1.9786237,2,29,6,3,1,2,2,6,1,1,1,2,50,2211,4,1,3,1,3,10,9,6,7,6666,6666,6,174,95,UKF
ESS11e04_1,11,4.1,83884,GB,1.1424241,1.299088,3.3242688,4.3185177,1,45,6,3,4,1,1,7,1,1,1,1,50,2320,8,1,2,2,3,8,8,6,2,24,64.4,2,180,72,UKD
ESS11e04_1,11,4.1,83911,GB,1.1424241,1.1555178,3.3242688,3.8412519,2,35,1,3,5,2,1,7,8,0,6,6,666,66666,3,1,3,2,3,7,8,6,7,6666,6666,6,165,56,UKJ
ESS11e04_1,11,4.1,83935,GB,0.6229453,0.5625722,3.3242688,1.8701411,1,59,4,2,1,1,1,1,5,0,1,2,60,9313,2,6,2,4,2,8,6,1,7,6666,6666,6,180,127,UKL
ESS11e04_1,11,4.1,83957,GB,1.1424241,1.2906126,3.3242688,4.2903433,1,47,1,3,4,1,1,6,1,1,2,6,40,7411,10,1,1,1,3,10,8,4,2,20.9,32.4,1,185,84,UKI
ESS11e04_1,11,4.1,83972,GB,0.57121205,0.49348336,3.3242688,1.6404713,1,73,5,2,1,1,1,1,6,0,1,1,45,7233,77,4,2,3,3,8,8,6,3,16.2,9999,2,777,777,UKE
ESS11e04_1,11,4.1,83996,GB,0.59915686,0.4357889,3.3242688,1.4486794,1,69,4,2,1,1,1,6,6,0,1,1,50,1212,4,4,1,2,3,7,8,1,1,24,104.5,1,185,73,UKM
ESS11e04_1,11,4.1,84007,GB,0.57121205,0.8848332,3.3242688,2.9414234,2,34,1,1,1,2,2,1,8,0,6,6,666,66666,77,8,1,1,3,8,9,6,7,6666,6666,6,165,62,UKI
ESS11e04_1,11,4.1,84040,GB,1.6581665,1.2616533,3.3242688,4.1940746,2,43,6,3,3,1,1,1,4,0,6,6,666,66666,1,6,3,1,3,8,7,1,6,0,0,5,154,57,UKN
ESS11e04_1,11,4.1,84052,GB,0.57121205,0.6758871,3.3242688,2.2468305,1,32,6,2,1,1,1,7,1,1,1,1,40,2144,5,1,1,1,3,10,10,6,2,20.9,209,3,178,78,UKC
ESS11e04_1,11,4.1,84054,GB,1.1424241,0.9455074,3.3242688,3.1431208,2,64,1,3,2,1,1,7,1,1,1,1,30,2634,10,1,1,3,3,6,5,4,2,0,44.9,4,160,57,UKK
ESS11e04_1,11,4.1,84087,GB,0.57121205,0.57674056,3.3242688,1.9172406,2,76,4,3,1,1,1,5,6,0,1,2,37,1344,2,4,1,1,2,10,10,6,5,0,8,5,170,69,UKJ
ESS11e04_1,11,4.1,84105,GB,0.57121205,0.6758871,3.3242688,2.2468305,1,34,6,3,1,1,1,4,1,1,1,1,37,2519,77,1,1,3,3,8,7,4,7,6666,6666,6,999,999,UKC
ESS11e04_1,11,4.1,84119,GB,1.6581665,1.0790038,3.3242688,3.5868986,1,80,1,5,2,1,1,1,6,0,1,1,42,4412,77,1,1,2,2,9,5,6,77,0,0,5,182,78,UKN
ESS11e04_1,11,4.1,84133,GB,1.1424241,1.299088,3.3242688,4.3185177,1,37,1,3,3,2,1,6,1,1,2,6,40,1221,4,2,1,2,3,8,8,4,7,6666,6666,6,999,999,UKD
ESS11e04_1,11,4.1,84134,GB,1.1424241,1.2393194,3.3242688,4.119831,2,36,1,2,2,1,1,5,1,1,1,1,50,2421,10,1,1,2,3,9,8,2,3,24,192,2,180,80,UKD
ESS11e04_1,11,4.1,84146,GB,0.59915686,0.5086595,3.3242688,1.6909208,2,86,6,4,1,1,1,2,6,0,1,1,32,5120,77,4,1,2,3,9,9,6,6,7777,7777,7,157,777,UKM
